verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
um,40200,0.8065972431228556,358,0.6641929499072357
soy,4676,0.8344039971448965,263,0.7557471264367817
yarala,5237,0.7030473889112633,169,0.7316017316017316
barın,4876,0.7355558907829235,194,0.7158671586715867
sonuçlan,123,0.917910447761194,43,0.86
sakın,1111,0.8372268274302939,185,0.7939914163090128
saldır,15,0.8823529411764706,2,0.5
hoşlan,4509,0.731268245215699,172,0.7413793103448276
diren,2677,0.7875845837010885,194,0.7003610108303249
yanıl,5824,0.8927038626609443,198,0.7279411764705882
sez,2808,0.7979539641943734,216,0.72
em,279091,0.7992868905276723,364,0.5880452342487884
dola,4970,0.8951729106628242,237,0.7292307692307692
eriş,4935,0.780607402720658,239,0.7113095238095238
ayarla,4424,0.7704632532218739,229,0.7483660130718954
tasarla,4097,0.7466739566247494,214,0.7670250896057348
örnekle,531,0.9092465753424658,96,0.8347826086956521
aydınlat,3412,0.7918310512880019,202,0.7859922178988327
arın,8484,0.7318209264211162,226,0.6746268656716418
sars,4877,0.7768397578846766,170,0.723404255319149
toparla,4267,0.773848385926732,215,0.7543859649122807
eğlen,3651,0.8486750348675035,218,0.759581881533101
aydınlan,2009,0.6978117401875651,132,0.8627450980392157
kok,3950,0.870427501101807,227,0.7747440273037542
ger,14815,0.8317426454075904,233,0.6832844574780058
danış,2402,0.8606234324614833,182,0.8088888888888889
katlan,3575,0.8208955223880597,217,0.7380952380952381
kızar,3250,0.8687516706762898,188,0.7768595041322314
gözlemle,3163,0.8656267104542966,195,0.76171875
yığ,3305,0.7127453094673281,191,0.7701612903225806
koşulla,389,0.7687747035573123,81,0.826530612244898
daral,4162,0.7653549098933431,188,0.734375
gerile,2895,0.8667664670658682,161,0.805
öv,6488,0.8568409931325938,258,0.7247191011235955
küçül,4082,0.790778767919411,223,0.7533783783783784
uzlaş,3322,0.8160157209530828,223,0.7797202797202797
süsle,3220,0.7940813810110974,172,0.7510917030567685
şekillen,1119,0.7852631578947369,138,0.7624309392265194
tüken,2708,0.8881600524762218,136,0.7771428571428571
varol,2228,0.8294862248696947,156,0.7222222222222222
sız,4910,0.8286919831223629,251,0.7699386503067485
kana,2517,0.908008658008658,183,0.8243243243243243
tırman,2737,0.8478934324659232,220,0.7773851590106007
eyle,1286,0.9540059347181009,150,0.8522727272727273
elle,9723,0.7884365877392151,270,0.6887755102040817
kısıtla,4251,0.8206563706563706,180,0.7860262008733624
doğrula,3126,0.7998976458546572,181,0.7042801556420234
