verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
sıyır,1206,0.7944664031620553,171,0.7737556561085973
faydalan,2835,0.8095374071958881,218,0.7440273037542662
çırp,2276,0.8978303747534516,172,0.7257383966244726
önemse,4353,0.7587589332403696,207,0.7419354838709677
dışla,3717,0.7460859092733841,220,0.7508532423208191
kabar,5071,0.8085140306122449,184,0.7763713080168776
borçlan,24,0.7741935483870968,16,0.6956521739130435
yaşlan,355,0.9806629834254144,74,0.9487179487179487
nitelen,8152,0.7159041011679986,223,0.6757575757575758
ayaklan,2395,0.8483882394615657,144,0.7539267015706806
üşü,9993,0.815422276621787,281,0.6887254901960784
farket,3475,0.8064516129032258,225,0.7281553398058253
çürü,3185,0.7942643391521197,213,0.7634408602150538
şiş,1754,0.7954648526077097,159,0.7832512315270936
yırt,3925,0.7500477737435506,218,0.754325259515571
yinele,2943,0.8315908448714326,196,0.7596899224806202
affet,3726,0.7696756868415616,238,0.7125748502994012
gözet,3659,0.831969076853115,219,0.7577854671280276
yücel,3403,0.7330891856958208,205,0.7427536231884058
dalgalan,382,0.9030732860520094,95,0.8260869565217391
bilgilen,546,0.7378378378378379,104,0.7375886524822695
sinirlen,224,0.896,31,0.8378378378378378
kıs,13080,0.782156311666567,282,0.6844660194174758
del,9404,0.8250570275486927,268,0.6925064599483204
görevlen,493,0.7022792022792023,94,0.7401574803149606
kastet,2611,0.8954046639231824,145,0.7512953367875648
serp,3084,0.7754588886095046,178,0.7672413793103449
irdele,3422,0.8188561856903566,185,0.7551020408163265
emret,2674,0.8949129852744311,148,0.774869109947644
sınıfla,1266,0.8623978201634878,110,0.7971014492753623
biç,4969,0.7493590710300105,225,0.7401315789473685
noktala,1431,0.8548387096774194,138,0.8414634146341463
oyla,1977,0.8701584507042254,127,0.8193548387096774
alkışla,1819,0.8340210912425493,179,0.7748917748917749
yalvar,2147,0.9128401360544217,161,0.8009950248756219
indirge,3616,0.739317113064813,179,0.7188755020080321
kirala,2504,0.8697464397360195,176,0.7822222222222223
çiğne,2774,0.8066298342541437,218,0.759581881533101
yavaşla,2703,0.7725064304086882,166,0.7124463519313304
doğrul,5351,0.8064807837226827,229,0.6835820895522388
yanaş,3026,0.8037184594953519,216,0.7659574468085106
haberle,2140,0.8307453416149069,171,0.8104265402843602
yumuşa,3359,0.7572137060414789,187,0.73046875
depola,3005,0.8377474212433789,155,0.7908163265306123
donat,2896,0.6951512241958714,183,0.7530864197530864
yasla,6183,0.7669312825601587,208,0.7172413793103448
küçümse,2894,0.7542350794891842,176,0.7521367521367521
kıskan,2579,0.8911541119557705,196,0.7452471482889734
yokla,1931,0.8086264656616415,140,0.8187134502923976
haykır,2079,0.9062772449869224,180,0.8
kıpırda,3660,0.7340553549939831,219,0.6822429906542056
bık,1723,0.8085405912717034,171,0.8104265402843602
terket,2511,0.7966370558375635,212,0.7910447761194029
kirlen,110,0.9016393442622951,5,0.45454545454545453
abar,7582,0.8186136903476571,225,0.7053291536050157
selamla,791,0.8063200815494393,124,0.8493150684931506
